id_paczki,data_dostawy,gabaryt,wysokosc_cm,szerokosc_cm,dlugosc_cm,waga_kg,miasto_docelowe,id_paczkomatu
ZAR-050404079,2026-05-04,A,5,38,20,1.2,Żary,ZAR-14
ZG-050404080,2026-05-04,B,16,17,40,8.5,Zielona Góra,ZG-32
SZP-050404081,2026-05-04,A,4,17,2,2.8,Szprotawa,SZP-01
ZG-050404082,2026-05-04,A,2,10,17,0.4,Zielona Góra,ZG-32
ZAR-050404083,2026-05-04,B,11,15,14,1.8,Żary,ZAR-02
ZG-050404084,2026-05-04,A,4,5,3,2.4,Zielona Góra,ZG-16
ZAR-050404085,2026-05-04,C,23,16,22,7.2,Żary,ZAR-06
ZGN-050404086,2026-05-04,C,25,32,9,3.8,Żagań,ZGN-04
ZG-050404087,2026-05-04,C,36,36,12,3.4,Zielona Góra,ZG-03
ZG-050404088,2026-05-04,A,2,2,62,1.1,Zielona Góra,ZG-25
ZG-050404089,2026-05-04,A,7,11,1,1.2,Zielona Góra,ZG-12
ZG-050404090,2026-05-04,B,17,26,22,3.1,Zielona Góra,ZG-08
KOZ-050404091,2026-05-04,B,19,8,38,3.3,Kożuchów,KOZ-01
ZAR-050404092,2026-05-04,B,9,31,47,5.8,Żary,ZAR-03
ZG-050404093,2026-05-04,B,11,23,7,5.2,Zielona Góra,ZG-15
ZG-050404094,2026-05-04,A,6,12,8,0.4,Zielona Góra,ZG-02
SZP-050404095,2026-05-04,A,2,16,9,0.1,Szprotawa,SZP-03
NS-050404096,2026-05-04,C,30,28,20,7.4,Nowa Sól,NS-12
ZGN-050404097,2026-05-04,A,7,20,47,2.3,Żagań,ZGN-08
ZG-050404098,2026-05-04,A,7,9,16,0.6,Zielona Góra,ZG-23
ZG-050404099,2026-05-04,A,5,13,32,1.2,Zielona Góra,ZG-32
ZGN-050404100,2026-05-04,B,10,16,62,8.3,Żagań,ZGN-06
ZG-050404101,2026-05-04,A,4,2,22,1.0,Zielona Góra,ZG-21
ZG-050404102,2026-05-04,A,3,26,42,1.7,Zielona Góra,ZG-02
ZG-050404103,2026-05-04,A,6,2,7,0.4,Zielona Góra,ZG-15
ZG-050404104,2026-05-04,A,1,38,26,1.5,Zielona Góra,ZG-39
ZGN-050404105,2026-05-04,A,8,22,64,0.8,Żagań,ZGN-08
ZG-050404106,2026-05-04,B,17,4,19,1.2,Zielona Góra,ZG-06
ZAR-050404107,2026-05-04,A,2,12,35,1.2,Żary,ZAR-08
ZAR-050404108,2026-05-04,C,33,7,51,3.3,Żary,ZAR-02
ZG-050404109,2026-05-04,A,5,26,58,1.9,Zielona Góra,ZG-13
ZG-050404110,2026-05-04,B,10,5,59,4.4,Zielona Góra,ZG-33
KOZ-050404111,2026-05-04,A,2,33,26,1.7,Kożuchów,KOZ-02
ZG-050404112,2026-05-04,B,15,16,49,5.4,Zielona Góra,ZG-13
ZG-050404113,2026-05-04,A,6,13,3,0.3,Zielona Góra,ZG-12
ZG-050404114,2026-05-04,A,2,38,41,2.1,Zielona Góra,ZG-07
SZP-050404115,2026-05-04,A,6,5,58,0.3,Szprotawa,SZP-03
ZGN-050404116,2026-05-04,B,17,6,5,3.3,Żagań,ZGN-04
ZG-050404117,2026-05-04,A,5,19,41,0.2,Zielona Góra,ZG-18
ZGN-050404118,2026-05-04,C,37,2,8,5.7,Żagań,ZGN-02
ZG-050404119,2026-05-04,C,27,26,53,8.0,Zielona Góra,ZG-03
NS-050404120,2026-05-04,C,27,9,18,9.9,Nowa Sól,NS-13
NS-050404121,2026-05-04,B,14,15,10,8.5,Nowa Sól,NS-04
ZG-050404122,2026-05-04,B,15,6,46,6.2,Zielona Góra,ZG-18
ZG-050404123,2026-05-04,A,6,38,42,0.6,Zielona Góra,ZG-36
NS-050404124,2026-05-04,C,29,23,24,8.7,Nowa Sól,NS-07
ZG-050404125,2026-05-04,A,5,8,41,0.3,Zielona Góra,ZG-02
ZGN-050404126,2026-05-04,B,17,27,18,8.0,Żagań,ZGN-03
KOZ-050404127,2026-05-04,C,40,17,24,8.4,Kożuchów,KOZ-01
ZG-050404128,2026-05-04,A,2,15,44,0.2,Zielona Góra,ZG-23
ZG-050404129,2026-05-04,C,41,37,40,8.1,Zielona Góra,ZG-10
ZAR-050404130,2026-05-04,A,5,22,52,1.1,Żary,ZAR-07
ZG-050404131,2026-05-04,C,39,28,58,5.9,Zielona Góra,ZG-10
ZG-050404132,2026-05-04,B,13,24,19,2.2,Zielona Góra,ZG-09
ZG-050404133,2026-05-04,B,15,11,28,5.1,Zielona Góra,ZG-38
ZG-050404134,2026-05-04,A,2,14,35,0.4,Zielona Góra,ZG-17
ZGN-050404135,2026-05-04,B,12,38,37,3.7,Żagań,ZGN-08
ZG-050404136,2026-05-04,A,1,22,38,1.8,Zielona Góra,ZG-39
ZAR-050404137,2026-05-04,A,8,1,60,1.0,Żary,ZAR-06
ZG-050404138,2026-05-04,A,7,7,45,1.3,Zielona Góra,ZG-13
ZGN-050404139,2026-05-04,B,19,26,36,7.1,Żagań,ZGN-05
ZAR-050404140,2026-05-04,A,1,3,54,2.8,Żary,ZAR-10
ZG-050404141,2026-05-04,B,9,30,28,7.4,Zielona Góra,ZG-31
NB-050404142,2026-05-04,A,8,7,33,0.7,Nowogród Bobrzański,NB-03
NS-050404143,2026-05-04,B,16,17,5,4.9,Nowa Sól,NS-17
ZG-050404144,2026-05-04,A,6,3,24,0.6,Zielona Góra,ZG-16
ZG-050404145,2026-05-04,B,18,21,26,2.7,Zielona Góra,ZG-05
KOZ-050404146,2026-05-04,A,3,24,25,1.7,Kożuchów,KOZ-02
ZAR-050404147,2026-05-04,A,7,17,12,0.4,Żary,ZAR-15
ZGN-050404148,2026-05-04,A,1,14,59,2.6,Żagań,ZGN-06
ZG-050404149,2026-05-04,B,15,37,54,4.7,Zielona Góra,ZG-37
NB-050404150,2026-05-04,A,2,8,44,2.0,Nowogród Bobrzański,NB-01
ZG-050404151,2026-05-04,A,5,19,30,1.8,Zielona Góra,ZG-26
ZG-050404152,2026-05-04,A,6,18,22,0.5,Zielona Góra,ZG-09
NS-050404153,2026-05-04,B,12,17,18,7.5,Nowa Sól,NS-20
ZAR-050404154,2026-05-04,A,1,17,9,1.4,Żary,ZAR-12
SZP-050404155,2026-05-04,C,34,3,40,7.2,Szprotawa,SZP-01
ZG-050404156,2026-05-04,B,10,30,64,3.4,Zielona Góra,ZG-26
ZG-050404157,2026-05-04,B,16,12,47,0.8,Zielona Góra,ZG-31
ZG-050404158,2026-05-04,A,4,5,51,1.0,Zielona Góra,ZG-10
SZP-050404159,2026-05-04,A,2,14,18,1.5,Szprotawa,SZP-01
NS-050404160,2026-05-04,C,39,32,22,5.7,Nowa Sól,NS-18
ZGN-050404161,2026-05-04,A,3,17,23,2.1,Żagań,ZGN-08
ZGN-050404162,2026-05-04,B,17,6,10,2.8,Żagań,ZGN-07
ZG-050404163,2026-05-04,A,4,25,48,0.2,Zielona Góra,ZG-28
ZG-050404164,2026-05-04,A,7,22,4,0.5,Zielona Góra,ZG-25
ZAR-050404165,2026-05-04,B,11,15,46,2.6,Żary,ZAR-12
NS-050404166,2026-05-04,A,3,27,64,0.3,Nowa Sól,NS-08
ZG-050404167,2026-05-04,B,13,5,58,5.9,Zielona Góra,ZG-27
ZG-050404168,2026-05-04,A,2,19,29,0.2,Zielona Góra,ZG-07
ZAR-050404169,2026-05-04,B,9,7,8,7.4,Żary,ZAR-01
ZG-050404170,2026-05-04,B,18,17,46,4.9,Zielona Góra,ZG-10
ZG-050404171,2026-05-04,B,12,15,44,3.4,Zielona Góra,ZG-01
ZG-050404172,2026-05-04,C,24,29,62,7.8,Zielona Góra,ZG-23
ZG-050404173,2026-05-04,A,8,21,14,1.7,Zielona Góra,ZG-24
ZG-050404174,2026-05-04,A,6,13,1,0.6,Zielona Góra,ZG-17
ZG-050404175,2026-05-04,A,3,8,25,1.7,Zielona Góra,ZG-23
ZG-050404176,2026-05-04,B,12,20,62,8.9,Zielona Góra,ZG-11
ZG-050404177,2026-05-04,B,18,20,60,2.4,Zielona Góra,ZG-09
ZG-050404178,2026-05-04,A,6,3,52,2.3,Zielona Góra,ZG-07
ZGN-050404179,2026-05-04,A,5,10,26,2.2,Żagań,ZGN-03
ZG-050404180,2026-05-04,B,9,31,40,3.4,Zielona Góra,ZG-26
ZG-050404181,2026-05-04,B,11,8,45,8.5,Zielona Góra,ZG-01
ZAR-050404182,2026-05-04,B,11,10,29,5.4,Żary,ZAR-03
ZGN-050404183,2026-05-04,A,5,4,58,0.4,Żagań,ZGN-06
ZAR-050404184,2026-05-04,A,2,15,21,0.7,Żary,ZAR-06
ZAR-050404185,2026-05-04,C,23,21,19,7.8,Żary,ZAR-15
ZG-050404186,2026-05-04,C,25,1,27,3.1,Zielona Góra,ZG-26
ZG-050404187,2026-05-04,A,4,30,22,1.0,Zielona Góra,ZG-34
ZG-050404188,2026-05-04,A,3,12,25,1.7,Zielona Góra,ZG-35
NS-050404189,2026-05-04,A,4,18,56,0.2,Nowa Sól,NS-14
ZGN-050404190,2026-05-04,C,41,29,24,5.2,Żagań,ZGN-08
ZG-050404191,2026-05-04,A,8,23,1,0.6,Zielona Góra,ZG-32
ZAR-050404192,2026-05-04,A,5,26,38,0.5,Żary,ZAR-05
ZAR-050404193,2026-05-04,A,7,3,36,1.3,Żary,ZAR-04
ZGN-050404194,2026-05-04,C,26,36,21,4.7,Żagań,ZGN-02
ZAR-050404195,2026-05-04,C,41,33,3,9.9,Żary,ZAR-11
ZAR-050404196,2026-05-04,A,8,23,6,0.5,Żary,ZAR-15
ZG-050404197,2026-05-04,B,9,26,32,5.1,Zielona Góra,ZG-02
ZG-050404198,2026-05-04,B,14,29,39,7.5,Zielona Góra,ZG-16
NB-050404199,2026-05-04,A,6,10,38,0.7,Nowogród Bobrzański,NB-05
ZG-050404200,2026-05-04,A,3,8,45,0.4,Zielona Góra,ZG-15
ZG-050404201,2026-05-04,C,31,15,20,3.5,Zielona Góra,ZG-15
ZGN-050404202,2026-05-04,B,18,19,30,5.9,Żagań,ZGN-03
NS-050404203,2026-05-04,A,4,24,39,1.4,Nowa Sól,NS-11
ZAR-050404204,2026-05-04,A,4,15,35,1.6,Żary,ZAR-12
ZG-050404205,2026-05-04,C,24,12,58,8.3,Zielona Góra,ZG-20
ZG-050404206,2026-05-04,A,1,9,14,0.8,Zielona Góra,ZG-06
ZG-050404207,2026-05-04,A,5,28,54,3.8,Zielona Góra,ZG-15
ZGN-050404208,2026-05-04,A,6,15,9,1.2,Żagań,ZGN-07
ZG-050404209,2026-05-04,A,7,29,50,0.8,Zielona Góra,ZG-01
ZG-050404210,2026-05-04,A,1,29,21,1.9,Zielona Góra,ZG-25
ZG-050404211,2026-05-04,B,16,36,4,3.1,Zielona Góra,ZG-10
ZG-050404212,2026-05-04,C,28,5,5,6.8,Zielona Góra,ZG-16
NS-050404213,2026-05-04,A,2,1,50,0.6,Nowa Sól,NS-13
ZAR-050404214,2026-05-04,A,4,2,47,0.6,Żary,ZAR-04
ZG-050404215,2026-05-04,A,4,29,29,0.4,Zielona Góra,ZG-18
ZG-050404216,2026-05-04,A,5,23,46,0.8,Zielona Góra,ZG-25
ZG-050404217,2026-05-04,A,1,15,51,3.6,Zielona Góra,ZG-21
NS-050404218,2026-05-04,B,10,6,13,6.0,Nowa Sól,NS-16
ZG-050404219,2026-05-04,B,12,23,8,5.3,Zielona Góra,ZG-26
ZG-050404220,2026-05-04,B,10,14,25,5.7,Zielona Góra,ZG-03
ZG-050404221,2026-05-04,A,5,20,61,3.6,Zielona Góra,ZG-15
ZG-050404222,2026-05-04,A,4,17,1,0.9,Zielona Góra,ZG-30
ZGN-050404223,2026-05-04,A,5,10,26,0.8,Żagań,ZGN-10
NS-050404224,2026-05-04,A,8,29,40,0.5,Nowa Sól,NS-17
ZG-050404225,2026-05-04,A,2,38,18,0.3,Zielona Góra,ZG-20
ZG-050404226,2026-05-04,B,10,38,3,3.5,Zielona Góra,ZG-23
ZG-050404227,2026-05-04,A,8,1,45,5.1,Zielona Góra,ZG-27
ZAR-050404228,2026-05-04,B,14,9,4,7.5,Żary,ZAR-13
NB-050404229,2026-05-04,C,39,1,28,2.3,Nowogród Bobrzański,NB-02
ZGN-050404230,2026-05-04,A,8,9,33,1.4,Żagań,ZGN-10
ZG-050404231,2026-05-04,A,1,11,59,1.6,Zielona Góra,ZG-03
ZG-050404232,2026-05-04,C,30,5,44,10.0,Zielona Góra,ZG-16
ZG-050404233,2026-05-04,A,7,11,42,0.7,Zielona Góra,ZG-19
SZP-050404234,2026-05-04,A,4,6,27,2.7,Szprotawa,SZP-02
ZGN-050404235,2026-05-04,B,16,32,33,3.7,Żagań,ZGN-04
ZG-050404236,2026-05-04,B,12,33,16,4.1,Zielona Góra,ZG-31
ZG-050404237,2026-05-04,B,18,30,62,7.7,Zielona Góra,ZG-38
ZG-050404238,2026-05-04,B,17,2,41,9.7,Zielona Góra,ZG-29
ZG-050404239,2026-05-04,A,4,32,21,1.3,Zielona Góra,ZG-11
ZG-050404240,2026-05-04,A,6,18,31,0.1,Zielona Góra,ZG-15
ZG-050404241,2026-05-04,B,13,27,55,8.0,Zielona Góra,ZG-30
NB-050404242,2026-05-04,B,17,3,4,1.6,Nowogród Bobrzański,NB-02
ZG-050404243,2026-05-04,A,4,29,11,1.1,Zielona Góra,ZG-14
ZG-050404244,2026-05-04,B,12,2,48,3.3,Zielona Góra,ZG-01
ZG-050404245,2026-05-04,A,6,20,41,4.7,Zielona Góra,ZG-30
KOZ-050404246,2026-05-04,A,8,9,49,0.3,Kożuchów,KOZ-02
ZG-050404247,2026-05-04,B,19,7,56,5.0,Zielona Góra,ZG-34
ZG-050404248,2026-05-04,A,1,17,46,0.4,Zielona Góra,ZG-38
ZG-050404249,2026-05-04,B,11,29,13,4.3,Zielona Góra,ZG-25
ZG-050404250,2026-05-04,B,9,6,55,3.8,Zielona Góra,ZG-03
ZG-050404251,2026-05-04,B,12,17,4,4.4,Zielona Góra,ZG-40
ZGN-050404252,2026-05-04,A,1,22,53,1.8,Żagań,ZGN-09
ZGN-050404253,2026-05-04,B,9,28,22,5.9,Żagań,ZGN-05
ZG-050404254,2026-05-04,A,3,37,51,3.3,Zielona Góra,ZG-02
ZGN-050404255,2026-05-04,A,7,18,20,1.4,Żagań,ZGN-09
ZAR-050404256,2026-05-04,C,38,4,43,8.8,Żary,ZAR-14
ZGN-050404257,2026-05-04,A,1,22,9,0.2,Żagań,ZGN-09
ZAR-050404258,2026-05-04,B,13,24,52,4.7,Żary,ZAR-13
ZGN-050404259,2026-05-04,B,9,30,15,4.9,Żagań,ZGN-06
ZG-050404260,2026-05-04,B,19,12,23,4.7,Zielona Góra,ZG-27
NS-050404261,2026-05-04,A,8,19,26,3.7,Nowa Sól,NS-01
ZG-050404262,2026-05-04,A,5,11,23,0.8,Zielona Góra,ZG-25
NS-050404263,2026-05-04,A,1,38,60,1.5,Nowa Sól,NS-12
ZG-050404264,2026-05-04,A,6,38,34,0.3,Zielona Góra,ZG-17
ZG-050404265,2026-05-04,B,16,3,38,7.9,Zielona Góra,ZG-15
ZG-050404266,2026-05-04,A,3,1,38,0.9,Zielona Góra,ZG-19
NS-050404267,2026-05-04,A,8,24,33,4.3,Nowa Sól,NS-04
ZG-050404268,2026-05-04,A,6,3,60,0.8,Zielona Góra,ZG-35
ZAR-050404269,2026-05-04,C,37,26,37,8.8,Żary,ZAR-01
NB-050404270,2026-05-04,B,12,15,6,6.6,Nowogród Bobrzański,NB-01
ZGN-050404271,2026-05-04,A,8,12,15,0.5,Żagań,ZGN-09
ZG-050404272,2026-05-04,B,17,38,29,6.6,Zielona Góra,ZG-32
NS-050404273,2026-05-04,B,17,8,24,4.1,Nowa Sól,NS-15
ZG-050404274,2026-05-04,A,7,36,61,0.8,Zielona Góra,ZG-12
ZG-050404275,2026-05-04,A,2,14,52,2.9,Zielona Góra,ZG-19
NS-050404276,2026-05-04,A,2,21,62,0.6,Nowa Sól,NS-09
ZG-050404277,2026-05-04,C,41,7,63,9.3,Zielona Góra,ZG-37
NB-050404278,2026-05-04,C,32,37,41,5.4,Nowogród Bobrzański,NB-04
NB-050404279,2026-05-04,B,19,3,25,2.5,Nowogród Bobrzański,NB-05
ZG-050404280,2026-05-04,C,30,25,26,8.7,Zielona Góra,ZG-14
ZG-050404281,2026-05-04,A,2,20,55,0.2,Zielona Góra,ZG-07
ZG-050404282,2026-05-04,A,4,32,50,1.5,Zielona Góra,ZG-05
ZG-050404283,2026-05-04,B,12,17,59,4.9,Zielona Góra,ZG-37
ZAR-050404284,2026-05-04,A,6,1,19,1.3,Żary,ZAR-04
NB-050404285,2026-05-04,A,7,31,19,1.4,Nowogród Bobrzański,NB-05
ZG-050404286,2026-05-04,A,2,22,48,4.5,Zielona Góra,ZG-13
ZG-050404287,2026-05-04,B,17,19,23,6.3,Zielona Góra,ZG-26
NS-050404288,2026-05-04,A,2,32,36,0.4,Nowa Sól,NS-06
ZG-050404289,2026-05-04,A,4,28,2,0.2,Zielona Góra,ZG-01
ZG-050404290,2026-05-04,B,13,17,4,5.1,Zielona Góra,ZG-21
KOZ-050404291,2026-05-04,C,23,29,18,8.4,Kożuchów,KOZ-02
NS-050404292,2026-05-04,A,4,26,39,0.9,Nowa Sól,NS-17
ZAR-050404293,2026-05-04,B,11,31,56,3.9,Żary,ZAR-08
ZG-050404294,2026-05-04,A,3,27,39,0.3,Zielona Góra,ZG-36
ZG-050404295,2026-05-04,A,1,18,27,3.1,Zielona Góra,ZG-23
NS-050404296,2026-05-04,B,16,28,42,7.7,Nowa Sól,NS-19
ZAR-050404297,2026-05-04,A,1,38,31,0.5,Żary,ZAR-14
ZGN-050404298,2026-05-04,B,14,31,22,3.3,Żagań,ZGN-03
ZG-050404299,2026-05-04,B,10,37,32,5.4,Zielona Góra,ZG-36
ZG-050404300,2026-05-04,A,4,4,1,1.6,Zielona Góra,ZG-31
ZG-050404301,2026-05-04,A,3,25,21,0.3,Zielona Góra,ZG-13
NS-050404302,2026-05-04,B,13,1,17,2.4,Nowa Sól,NS-12
SZP-050404303,2026-05-04,C,29,26,63,5.4,Szprotawa,SZP-02
NB-050404304,2026-05-04,B,12,12,15,4.0,Nowogród Bobrzański,NB-02
ZAR-050404305,2026-05-04,A,8,35,1,1.0,Żary,ZAR-11
ZG-050404306,2026-05-04,B,14,26,33,6.3,Zielona Góra,ZG-28
NS-050404307,2026-05-04,A,7,29,2,1.7,Nowa Sól,NS-11
ZG-050404308,2026-05-04,B,17,15,48,3.1,Zielona Góra,ZG-17
ZG-050404309,2026-05-04,B,9,24,22,2.9,Zielona Góra,ZG-17
ZG-050404310,2026-05-04,B,10,19,39,8.6,Zielona Góra,ZG-02
SZP-050404311,2026-05-04,B,10,1,31,3.6,Szprotawa,SZP-04
ZG-050404312,2026-05-04,B,12,7,53,6.5,Zielona Góra,ZG-24
ZG-050404313,2026-05-04,A,5,27,19,2.8,Zielona Góra,ZG-38
ZAR-050404314,2026-05-04,B,14,7,54,5.4,Żary,ZAR-11
ZG-050404315,2026-05-04,A,7,34,51,2.8,Zielona Góra,ZG-33
KOZ-050404316,2026-05-04,A,1,8,48,0.5,Kożuchów,KOZ-02
ZGN-050404317,2026-05-04,B,13,21,55,6.6,Żagań,ZGN-03
ZG-050404318,2026-05-04,A,3,34,63,0.6,Zielona Góra,ZG-04
NS-050404319,2026-05-04,A,1,4,53,3.4,Nowa Sól,NS-06
ZG-050404320,2026-05-04,A,1,35,29,0.5,Zielona Góra,ZG-18
NS-050404321,2026-05-04,B,14,31,18,4.1,Nowa Sól,NS-04
ZG-050404322,2026-05-04,A,5,28,24,0.7,Zielona Góra,ZG-22
ZG-050404323,2026-05-04,B,18,21,57,6.8,Zielona Góra,ZG-22
ZG-050404324,2026-05-04,B,12,14,11,6.0,Zielona Góra,ZG-39
ZG-050404325,2026-05-04,B,15,5,15,6.8,Zielona Góra,ZG-33
ZAR-050404326,2026-05-04,C,32,33,49,7.0,Żary,ZAR-09
ZG-050404327,2026-05-04,B,15,1,45,4.1,Zielona Góra,ZG-23
NS-050404328,2026-05-04,B,13,34,17,7.4,Nowa Sól,NS-05
ZG-050404329,2026-05-04,C,35,13,36,6.1,Zielona Góra,ZG-01
NS-050404330,2026-05-04,B,12,5,26,6.1,Nowa Sól,NS-16
ZG-050404331,2026-05-04,A,8,6,46,0.6,Zielona Góra,ZG-11
ZAR-050404332,2026-05-04,B,12,27,58,3.4,Żary,ZAR-06
ZG-050404333,2026-05-04,B,10,15,40,7.3,Zielona Góra,ZG-37
ZG-050404334,2026-05-04,A,2,11,50,0.3,Zielona Góra,ZG-08
ZG-050404335,2026-05-04,A,7,22,56,1.2,Zielona Góra,ZG-03
ZG-050404336,2026-05-04,A,6,5,7,0.4,Zielona Góra,ZG-40
ZAR-050404337,2026-05-04,B,9,7,42,2.0,Żary,ZAR-08
ZG-050404338,2026-05-04,B,9,11,55,2.4,Zielona Góra,ZG-18
ZG-050404339,2026-05-04,A,5,18,11,1.8,Zielona Góra,ZG-28
ZG-050404340,2026-05-04,C,21,31,32,7.3,Zielona Góra,ZG-20
KOZ-050404341,2026-05-04,A,5,20,4,2.3,Kożuchów,KOZ-01
NS-050404342,2026-05-04,A,4,32,49,1.3,Nowa Sól,NS-14
ZAR-050404343,2026-05-04,C,23,1,20,4.4,Żary,ZAR-08
ZG-050404344,2026-05-04,A,3,29,49,3.0,Zielona Góra,ZG-39
SZP-050404345,2026-05-04,A,3,10,30,0.8,Szprotawa,SZP-01
ZG-050404346,2026-05-04,A,2,37,8,2.9,Zielona Góra,ZG-06
ZGN-050404347,2026-05-04,B,10,14,10,6.3,Żagań,ZGN-09
ZG-050404348,2026-05-04,B,13,3,38,8.2,Zielona Góra,ZG-02
ZG-050404349,2026-05-04,A,6,37,19,1.1,Zielona Góra,ZG-15
NS-050404350,2026-05-04,A,7,22,47,0.6,Nowa Sól,NS-09
ZG-050404351,2026-05-04,A,5,31,37,0.6,Zielona Góra,ZG-30
NS-050404352,2026-05-04,A,6,26,2,1.0,Nowa Sól,NS-06
ZG-050404353,2026-05-04,A,7,28,32,2.0,Zielona Góra,ZG-35
ZG-050404354,2026-05-04,A,3,22,58,2.2,Zielona Góra,ZG-10
ZG-050404355,2026-05-04,B,15,17,11,5.1,Zielona Góra,ZG-04
ZG-050404356,2026-05-04,A,4,34,50,1.7,Zielona Góra,ZG-11
ZGN-050404357,2026-05-04,C,30,9,6,4.9,Żagań,ZGN-08
KOZ-050404358,2026-05-04,A,6,11,50,0.4,Kożuchów,KOZ-01
ZG-050404359,2026-05-04,A,4,17,54,1.5,Zielona Góra,ZG-39
ZG-050404360,2026-05-04,B,13,30,51,5.3,Zielona Góra,ZG-26
ZG-050404361,2026-05-04,A,3,13,18,2.3,Zielona Góra,ZG-39
ZG-050404362,2026-05-04,B,15,18,54,2.8,Zielona Góra,ZG-32
ZG-050404363,2026-05-04,B,15,12,34,4.6,Zielona Góra,ZG-17
ZG-050404364,2026-05-04,B,10,35,13,2.4,Zielona Góra,ZG-16
ZG-050404365,2026-05-04,C,26,25,57,4.6,Zielona Góra,ZG-16
ZG-050404366,2026-05-04,C,29,25,1,6.9,Zielona Góra,ZG-11
NS-050404367,2026-05-04,A,4,4,17,0.5,Nowa Sól,NS-04
ZG-050404368,2026-05-04,A,7,24,59,2.0,Zielona Góra,ZG-24
ZGN-050404369,2026-05-04,C,29,1,28,9.5,Żagań,ZGN-03
ZG-050404370,2026-05-04,C,27,25,1,6.4,Zielona Góra,ZG-40
NS-050404371,2026-05-04,B,9,6,5,6.0,Nowa Sól,NS-10
SZP-050404372,2026-05-04,A,3,5,40,0.4,Szprotawa,SZP-02
ZGN-050404373,2026-05-04,A,5,2,58,0.7,Żagań,ZGN-10
ZG-050404374,2026-05-04,B,11,34,64,2.4,Zielona Góra,ZG-05
NS-050404375,2026-05-04,B,17,14,8,5.9,Nowa Sól,NS-11
ZAR-050404376,2026-05-04,A,8,3,4,0.3,Żary,ZAR-14
ZG-050404377,2026-05-04,A,8,29,24,2.4,Zielona Góra,ZG-13
NS-050404378,2026-05-04,A,5,14,18,0.8,Nowa Sól,NS-05
NS-050404379,2026-05-04,B,15,8,8,4.5,Nowa Sól,NS-06
ZG-050404380,2026-05-04,B,19,18,19,5.7,Zielona Góra,ZG-32
ZG-050404381,2026-05-04,A,6,20,31,0.4,Zielona Góra,ZG-09
NS-050404382,2026-05-04,C,36,24,6,9.5,Nowa Sól,NS-14
NS-050404383,2026-05-04,B,13,15,58,1.5,Nowa Sól,NS-06
SZP-050404384,2026-05-04,C,24,22,50,7.9,Szprotawa,SZP-01
ZAR-050404385,2026-05-04,B,16,25,35,4.9,Żary,ZAR-13
ZG-050404386,2026-05-04,B,11,6,13,4.3,Zielona Góra,ZG-38
ZG-050404387,2026-05-04,A,6,32,8,1.7,Zielona Góra,ZG-04
ZG-050404388,2026-05-04,A,3,3,13,3.8,Zielona Góra,ZG-26
ZAR-050404389,2026-05-04,C,32,8,40,8.4,Żary,ZAR-06
KOZ-050404390,2026-05-04,C,35,38,32,6.6,Kożuchów,KOZ-02
NS-050404391,2026-05-04,A,5,4,54,0.5,Nowa Sól,NS-16
ZG-050404392,2026-05-04,A,8,2,15,2.1,Zielona Góra,ZG-40
NS-050404393,2026-05-04,A,5,12,11,0.6,Nowa Sól,NS-01
NS-050404394,2026-05-04,A,5,15,48,2.8,Nowa Sól,NS-08
ZG-050404395,2026-05-04,B,15,16,43,1.8,Zielona Góra,ZG-06
NS-050404396,2026-05-04,B,10,25,5,3.0,Nowa Sól,NS-03
ZG-050404397,2026-05-04,B,11,7,41,2.1,Zielona Góra,ZG-02
ZG-050404398,2026-05-04,A,3,6,3,0.7,Zielona Góra,ZG-03
ZGN-050404399,2026-05-04,B,15,9,7,3.6,Żagań,ZGN-03
ZAR-050404400,2026-05-04,B,11,15,47,9.4,Żary,ZAR-05
ZG-050404401,2026-05-04,C,21,27,27,10.0,Zielona Góra,ZG-11
ZG-050404402,2026-05-04,B,11,28,27,3.0,Zielona Góra,ZG-29
ZG-050404403,2026-05-04,B,11,29,15,4.7,Zielona Góra,ZG-18
ZG-050404404,2026-05-04,A,3,9,31,0.1,Zielona Góra,ZG-03
ZG-050404405,2026-05-04,B,12,38,58,2.7,Zielona Góra,ZG-01
ZG-050404406,2026-05-04,A,8,19,41,1.3,Zielona Góra,ZG-10
ZAR-050404407,2026-05-04,B,18,4,55,3.1,Żary,ZAR-07
ZG-050404408,2026-05-04,B,17,25,8,7.0,Zielona Góra,ZG-40
ZG-050404409,2026-05-04,B,11,33,27,6.8,Zielona Góra,ZG-12
ZG-050404410,2026-05-04,A,4,3,50,2.9,Zielona Góra,ZG-10
ZG-050404411,2026-05-04,A,4,23,31,0.8,Zielona Góra,ZG-05
ZG-050404412,2026-05-04,A,7,4,19,2.1,Zielona Góra,ZG-17
ZG-050404413,2026-05-04,C,35,15,14,5.2,Zielona Góra,ZG-12
ZG-050404414,2026-05-04,B,17,33,45,8.6,Zielona Góra,ZG-20
ZG-050404415,2026-05-04,A,8,27,40,0.1,Zielona Góra,ZG-04
NS-050404416,2026-05-04,A,7,27,25,0.4,Nowa Sól,NS-08
ZG-050404417,2026-05-04,A,2,17,25,1.0,Zielona Góra,ZG-40
ZG-050404418,2026-05-04,B,15,31,17,5.4,Zielona Góra,ZG-36
ZG-050404419,2026-05-04,B,17,16,39,6.8,Zielona Góra,ZG-31
ZG-050404420,2026-05-04,A,3,15,52,0.3,Zielona Góra,ZG-24
NS-050404421,2026-05-04,A,3,16,33,3.7,Nowa Sól,NS-12
ZG-050404422,2026-05-04,A,4,20,24,1.2,Zielona Góra,ZG-35
